country,date,retailrec,groceryph,parks,transit,workplace,residence,last_updated,r7,ci_95_u7,ci_95_l7,countrynum,datenum,lag7retail,lag7grocery,lag7parks,lag7transit,lag7work,lag7residence,lag14retail,lag14grocery,lag14parks,lag14transit,lag14work,lag14residence,numdays,lnr7,lnciupperr7
Argentina,2/15/2020,1,-3,-3,4,-1,0,,,,,7,24,,,,,,,,,,,,,,,
Argentina,2/16/2020,-6,-6,-14,-2,-4,2,,,,,7,25,,,,,,,,,,,,,,,
Argentina,2/17/2020,-10,-8,-23,-2,7,1,,,,,7,26,,,,,,,,,,,,,,,
Argentina,2/18/2020,3,3,-2,9,9,-1,,,,,7,27,,,,,,,,,,,,,,,
Argentina,2/19/2020,1,0,10,8,11,-2,,,,,7,28,,,,,,,,,,,,,,,
Argentina,2/20/2020,0,0,-8,7,9,-1,,,,,7,29,,,,,,,,,,,,,,,
Argentina,2/21/2020,3,4,-9,9,9,-1,,,,,7,30,,,,,,,,,,,,,,,
Argentina,2/22/2020,6,5,4,7,-1,0,,,,,7,31,1,-3,-3,4,-1,0,,,,,,,,,
Argentina,2/23/2020,14,8,18,5,-2,0,,,,,7,32,-6,-6,-14,-2,-4,2,,,,,,,,,
Argentina,2/24/2020,-10,-16,26,-27,-54,6,,,,,7,33,-10,-8,-23,-2,7,1,,,,,,,,,
Argentina,2/25/2020,-20,-17,1,-28,-50,7,,,,,7,34,3,3,-2,9,9,-1,,,,,,,,,
Argentina,2/26/2020,1,2,5,9,13,-2,,,,,7,35,1,0,10,8,11,-2,,,,,,,,,
Argentina,2/27/2020,-1,0,-5,8,12,0,,,,,7,36,0,0,-8,7,9,-1,,,,,,,,,
Argentina,2/28/2020,3,2,-8,8,13,-1,,,,,7,37,3,4,-9,9,9,-1,,,,,,,,,
Argentina,2/29/2020,5,5,-8,6,2,1,,,,,7,38,6,5,4,7,-1,0,1,-3,-3,4,-1,0,,,
Argentina,3/1/2020,-3,3,-11,1,-2,2,,,,,7,39,14,8,18,5,-2,0,-6,-6,-14,-2,-4,2,,,
Argentina,3/2/2020,1,4,-8,7,16,-1,,,,,7,40,-10,-16,26,-27,-54,6,-10,-8,-23,-2,7,1,,,
Argentina,3/3/2020,0,5,-6,8,16,-1,,,,,7,41,-20,-17,1,-28,-50,7,3,3,-2,9,9,-1,,,
Argentina,3/4/2020,-1,3,-1,8,18,-2,,,,,7,42,1,2,5,9,13,-2,1,0,10,8,11,-2,,,
Argentina,3/5/2020,1,4,-9,10,18,-1,,,,,7,43,-1,0,-5,8,12,0,0,0,-8,7,9,-1,,,
Argentina,3/6/2020,6,8,-7,12,18,-2,,,,,7,44,3,2,-8,8,13,-1,3,4,-9,9,9,-1,,,
Argentina,3/7/2020,5,7,-10,8,3,1,,,,,7,45,5,5,-8,6,2,1,6,5,4,7,-1,0,,,
Argentina,3/8/2020,3,4,-12,3,-2,2,,,,,7,46,-3,3,-11,1,-2,2,14,8,18,5,-2,0,,,
Argentina,3/9/2020,1,5,-9,13,15,-1,,,,,7,47,1,4,-8,7,16,-1,-10,-16,26,-27,-54,6,,,
Argentina,3/10/2020,3,8,-9,14,18,-2,,,,,7,48,0,5,-6,8,16,-1,-20,-17,1,-28,-50,7,,,
Argentina,3/11/2020,-16,-7,-24,-6,15,0,,,,,7,49,-1,3,-1,8,18,-2,1,2,5,9,13,-2,,,
Argentina,3/12/2020,-4,8,-16,10,18,-1,,,,,7,50,1,4,-9,10,18,-1,-1,0,-5,8,12,0,,,
Argentina,3/13/2020,-5,10,-17,7,18,-1,,,,,7,51,6,8,-7,12,18,-2,3,2,-8,8,13,-1,,,
Argentina,3/14/2020,-19,5,-40,-19,-4,7,,,,,7,52,5,7,-10,8,3,1,5,5,-8,6,2,1,,,
Argentina,3/15/2020,-29,17,-44,-17,-10,9,,,,,7,53,3,4,-12,3,-2,2,-3,3,-11,1,-2,2,,,
Argentina,3/16/2020,-27,8,-39,-17,1,6,,,,,7,54,1,5,-9,13,15,-1,1,4,-8,7,16,-1,,,
