state,date,retailrec,groceryph,parks,transit,workplace,residence,statenum,lag7retail,lag7grocery,lag7parks,lag7transit,lag7work,lag7residence,lag14retail,lag14grocery,lag14parks,lag14transit,lag14work,lag14residence,index,mean,median,lower_80,upper_80,lnmedian,lnupper80
Alabama,2/15/2020,5,2,39,7,2,-1,1,,,,,,,,,,,,,,,,,,,
Alabama,2/16/2020,0,-2,-7,3,-1,1,1,,,,,,,,,,,,,,,,,,,
Alabama,2/17/2020,3,0,17,7,-17,4,1,,,,,,,,,,,,,,,,,,,
Alabama,2/18/2020,-4,-3,-11,-1,1,2,1,,,,,,,,,,,,,,,,,,,
Alabama,2/19/2020,4,1,6,4,1,0,1,,,,,,,,,,,,,,,,,,,
Alabama,2/20/2020,-7,-6,-25,-1,0,3,1,,,,,,,,,,,,,,,,,,,
Alabama,2/21/2020,3,0,12,9,1,0,1,,,,,,,,,,,,,,,,,,,
Alabama,2/22/2020,5,4,46,13,6,-1,1,5,2,39,7,2,-1,,,,,,,,,,,,,
Alabama,2/23/2020,3,2,24,16,2,0,1,0,-2,-7,3,-1,1,,,,,,,,,,,,,
Alabama,2/24/2020,-2,-3,-13,2,-2,2,1,3,0,17,7,-17,4,,,,,,,,,,,,,
Alabama,2/25/2020,7,3,27,7,-1,0,1,-4,-3,-11,-1,1,2,,,,,,,,,,,,,
Alabama,2/26/2020,16,5,7,11,0,-1,1,4,1,6,4,1,0,,,,,,,,,,,,,
Alabama,2/27/2020,12,6,14,9,2,-1,1,-7,-6,-25,-1,0,3,,,,,,,,,,,,,
Alabama,2/28/2020,12,6,20,10,1,-1,1,3,0,12,9,1,0,,,,,,,,,,,,,
Alabama,2/29/2020,15,10,55,20,5,-3,1,5,4,46,13,6,-1,5,2,39,7,2,-1,,,,,,,
Alabama,3/1/2020,16,10,53,21,4,-2,1,3,2,24,16,2,0,0,-2,-7,3,-1,1,,,,,,,
Alabama,3/2/2020,8,4,-2,5,2,0,1,-2,-3,-13,2,-2,2,3,0,17,7,-17,4,,,,,,,
Alabama,3/3/2020,20,15,33,5,2,-1,1,7,3,27,7,-1,0,-4,-3,-11,-1,1,2,0,2,2,2,2,1,1
Alabama,3/4/2020,7,0,-8,2,0,1,1,16,5,7,11,0,-1,4,1,6,4,1,0,1,2,2,2,2,1,1
